state,district,anaemia_pregnant_pct,antenatal_first_trimester_pct,institutional_births_pct,postnatal_care_pct,underweight_pct,hri_normalised,hri_score,hri_category,intrastate_rank
Maharashtra,Wardha,36.5,87.9,98.8,89.9,31.3,0.852115288,5,Very high,25
Maharashtra,Washim,33.8,63.4,92.9,83.4,39.3,0.848632259,5,Very high,27
Maharashtra,Yavatmal,53.7,77.1,96.3,85.6,39.4,0.850700964,5,Very high,26
Manipur,Bishnupur,39.0,84.2,89.5,79.0,11.7,0.660528,2,low,6
Manipur,Chandel,20.3,77.6,55.5,55.0,14.7,0.686912,3,moderate,2
Manipur,Churachandpur,51.8,69.0,72.9,58.2,9.8,0.683736,3,moderate,3
Manipur,Imphal East,27.4,78.6,91.7,85.4,14.4,0.625083,2,low,15
Manipur,Imphal West,39.5,83.2,95.7,90.8,10.2,0.625314,2,low,14
Manipur,Senapati,18.3,73.9,45.8,37.0,12.9,0.658319,2,low,8
Manipur,Tamenglong,31.4,69.4,57.7,52.7,19.3,0.624311,2,low,16
Manipur,Thoubal,32.0,90.6,87.8,75.6,14.9,0.662669,2,low,5
Manipur,Ukhrul,25.7,58.3,44.6,44.9,16.0,0.650208,2,low,10
Meghalaya,East Garo Hills,29.1,59.2,73.8,59.9,26.5,0.559781887,2,low,6
Meghalaya,East Jaintia Hills,46.5,55.5,48.4,49.1,23.6,0.573190646,2,low,3
Meghalaya,East Khasi Hills,43.7,56.7,63.4,33.6,23.8,0.331071821,1,very low,11
Meghalaya,North Garo Hills,40.8,40.3,61.5,40.5,15.8,0.4591583,1,very low,10
Meghalaya,Ribhoi,65.0,56.1,56.9,39.5,29.6,0.530544746,2,low,7
Meghalaya,South Garo Hills,33.7,68.7,88.3,65.9,20.8,0.561328999,2,low,5
Meghalaya,South West Garo Hills,37.8,57.0,83.7,60.6,26.4,0.73107374,3,moderate,1
Meghalaya,South West Khasi Hills,63.2,48.5,41.7,42.9,27.6,0.526453475,2,low,8
Meghalaya,West Garo Hills,26.7,65.1,89.6,70.9,26.3,0.598484209,2,low,2
Meghalaya,West Jaintia Hills,64.6,44.0,42.2,28.6,28.3,0.517190969,2,low,9
Meghalaya,West Khasi Hills,49.6,45.3,41.7,42.0,31.1,0.570343216,2,low,4
Mizoram,Aizawl,33.4,82.8,97.4,73.4,9.6,0.753116,3,moderate,2
Mizoram,Champhai,15.7,80.0,96.7,72.3,13.1,0.715596,3,moderate,5
Mizoram,Kolasib,43.8,72.7,91.4,71.5,12.6,0.727416,3,moderate,4
Mizoram,Lawngtlai,46.5,51.5,53.7,46.2,16.9,0.758841,3,moderate,1
Mizoram,Lunglei,27.5,68.8,82.7,67.1,11.1,0.741623,3,moderate,3
Mizoram,Mamit,29.9,64.5,75.0,63.9,13.9,0.714529,3,moderate,6
Mizoram,Saiha,30.0,60.7,73.8,59.6,17.6,0.685842,3,moderate,8
Mizoram,Serchhip,43.4,77.6,96.2,86.2,14.4,0.700247,3,moderate,7
Nagaland,Dimapur,32.9,71.4,73.7,68.7,29.8,0.617950203,2,low,5
Nagaland,Kiphire,19.5,27.2,34.8,31.9,25.0,0.633799303,2,low,4
Nagaland,Kohima,3.9,61.9,66.9,58.9,22.1,0.643467515,2,low,3
Nagaland,Longleng,30.5,42.3,38.7,28.5,25.7,0.48590791,2,low,11
Nagaland,Mokokchung,11.5,51.6,51.5,47.4,22.9,0.501156641,2,low,9
Nagaland,Mon,27.0,44.6,21.4,25.6,23.3,0.496500478,2,low,10
Nagaland,Peren,26.4,45.1,43.5,46.9,20.7,0.644040906,2,low,2
Nagaland,Phek,18.2,50.1,32.2,39.6,15.6,0.667498917,2,low,1
Nagaland,Tuensang,20.0,27.1,34.8,29.5,34.2,0.578816287,2,low,7
Nagaland,Wokha,29.8,57.8,43.6,50.7,28.0,0.571109543,2,low,8
Nagaland,Zunheboto,40.8,46.5,35.0,24.9,44.5,0.58246149,2,low,6
