state,district,hri_normalised,hri_score,hri_category,intrastate_rank
Manipur,Senapati,0.658319,2.0,low,8
Manipur,Tengnoupal,0.65583,2.0,low,9
Manipur,Ukhrul,0.650208,2.0,low,10
Manipur,Noney,0.644196,2.0,low,11
Manipur,Kamjong,0.643449,2.0,low,12
Manipur,Kangpokpi,0.631256,2.0,low,13
Manipur,Imphal West,0.625314,2.0,low,14
Manipur,Imphal East,0.625083,2.0,low,15
Manipur,Tamenglong,0.624311,2.0,low,16
Meghalaya,South West Garo Hills,0.73107374,3.0,moderate,1
Meghalaya,West Garo Hills,0.598484209,2.0,low,2
Meghalaya,East Jaintia Hills,0.573190646,2.0,low,3
Meghalaya,West Khasi Hills,0.570343216,2.0,low,4
Meghalaya,South Garo Hills,0.561328999,2.0,low,5
Meghalaya,East Garo Hills,0.559781887,2.0,low,6
Meghalaya,Ribhoi,0.530544746,2.0,low,7
Meghalaya,South West Khasi Hills,0.526453475,2.0,low,8
Meghalaya,West Jaintia Hills,0.517190969,2.0,low,9
Meghalaya,North Garo Hills,0.4591583,1.0,very low,10
Meghalaya,East Khasi Hills,0.331071821,1.0,very low,11
Mizoram,Lawngtlai,0.758841,3.0,moderate,1
Mizoram,Aizawl,0.753116,3.0,moderate,2
Mizoram,Lunglei,0.741623,3.0,moderate,3
Mizoram,Kolasib,0.727416,3.0,moderate,4
Mizoram,Champhai,0.715596,3.0,moderate,5
Mizoram,Mamit,0.714529,3.0,moderate,6
Mizoram,Serchhip,0.700247,3.0,moderate,7
Mizoram,Saiha,0.685842,3.0,moderate,8
Nagaland,Phek,0.667498917,2.0,low,1
Nagaland,Peren,0.644040906,2.0,low,2
Nagaland,Kohima,0.643467515,2.0,low,3
Nagaland,Kiphire,0.633799303,2.0,low,4
Nagaland,Dimapur,0.617950203,2.0,low,5
Nagaland,Zunheboto,0.58246149,2.0,low,6
Nagaland,Tuensang,0.578816287,2.0,low,7
Nagaland,Wokha,0.571109543,2.0,low,8
Nagaland,Mokokchung,0.501156641,2.0,low,9
Nagaland,Mon,0.496500478,2.0,low,10
Nagaland,Longleng,0.48590791,2.0,low,11
Odisha,Khordha,0.849294015,5.0,Very high,1
Odisha,Baleshwar,0.837931831,4.0,High,2
Odisha,Ganjam,0.830831143,4.0,High,3
Odisha,Mayurbhanj,0.812343785,4.0,High,4
Odisha,Puri,0.811274458,4.0,High,5
Odisha,Cuttack,0.805914116,4.0,High,6
Odisha,Nayagarh,0.803056699,4.0,High,7
Odisha,Jajapur,0.793149933,4.0,High,8
Odisha,Nabarangapur,0.778555847,4.0,High,9
Odisha,Bhadrak,0.777778319,4.0,High,10
Odisha,Gajapati,0.777602298,4.0,High,11
Odisha,Balangir,0.776438319,4.0,High,12
Odisha,Bargarh,0.775370143,4.0,High,13
Odisha,Dhenkanal,0.774045826,4.0,High,14
Odisha,Nuapada,0.771386242,3.0,moderate,15
Odisha,Sundargarh,0.768289402,3.0,moderate,16
Odisha,Kendujhar,0.765553081,3.0,moderate,17
Odisha,Jagatsinghapur,0.762811765,3.0,moderate,18
Odisha,Baudh,0.755311272,3.0,moderate,19
Odisha,Kalahandi,0.754583774,3.0,moderate,20
Odisha,Jharsuguda,0.748714074,3.0,moderate,21
Odisha,Anugul,0.746690237,3.0,moderate,22
Odisha,Subarnapur,0.745479788,3.0,moderate,23
Odisha,Kandhamal,0.74545808,3.0,moderate,24
Odisha,Rayagada,0.744907175,3.0,moderate,25
Odisha,Koraput,0.742155395,3.0,moderate,26
Odisha,Kendrapara,0.740265844,3.0,moderate,27
Odisha,Malkangiri,0.729731511,3.0,moderate,28
Odisha,Sambalpur,0.72507325,3.0,moderate,29
Odisha,Debagarh,0.70762359,3.0,moderate,30
Puducherry,Karaikal,0.844218331,5.0,Very high,1
Puducherry,Puducherry,0.840026687,4.0,High,2
Puducherry,Yanam,0.820497773,4.0,High,3
Puducherry,Mahe,0.726171366,3.0,moderate,4
Punjab,Bathinda,0.819035516,4.0,High,1
Punjab,Patiala,0.809395568,4.0,High,2
Punjab,Amritsar,0.803393066,4.0,High,3
Punjab,Sangrur,0.802835138,4.0,High,4
Punjab,Fazilka,0.80133311,4.0,High,5
Punjab,Mansa,0.801174002,4.0,High,6
Punjab,Tarn Taran,0.792313232,4.0,High,7
Punjab,Sri Muktsar Sahib,0.791253552,4.0,High,8
Punjab,Ludhiana,0.787375408,4.0,High,9
Punjab,Moga,0.782038944,4.0,High,10
Punjab,Barnala,0.776428425,4.0,High,11
